Date,Price,Open,High,Low,Vol.,Change %
15/06/2023,236.49,237.89,240.60,230.70,645.96,-0.59%
14/06/2023,237.89,244.19,252.10,233.73,1.03,-2.58%
13/06/2023,244.19,231.29,246.53,228.90,1.30,5.58%
12/06/2023,231.29,235.39,238.79,221.40,1.66,-1.74%
11/06/2023,235.39,238.70,239.29,233.64,430.82,-1.39%
10/06/2023,238.70,260.51,260.70,230.76,1.68,-8.37%
09/06/2023,260.51,261.91,264.29,255.91,536.35,-0.54%
08/06/2023,261.91,259.21,267.20,257.33,616.61,1.04%
07/06/2023,259.21,281.10,281.60,254.65,1.24,-7.79%
06/06/2023,281.11,277.10,285.60,273.40,742.08,1.45%
05/06/2023,277.10,305.10,305.10,272.41,1.14,-9.18%
04/06/2023,305.10,306.60,307.60,304.81,192.73,-0.49%
03/06/2023,306.60,307.30,308.10,305.30,162.09,-0.23%
02/06/2023,307.30,304.80,308.40,303.50,309.77,0.82%
01/06/2023,304.80,306.70,307.50,303.30,263.13,-0.62%
31/05/2023,306.70,311.40,311.80,305.01,448.98,-1.51%
30/05/2023,311.40,311.60,314.10,310.90,299.81,-0.07%
29/05/2023,311.60,314.10,316.90,310.50,474.21,-0.80%
28/05/2023,314.10,307.40,314.41,306.80,266.78,2.18%
27/05/2023,307.40,306.90,307.70,304.10,150.06,0.16%
26/05/2023,306.90,304.60,308.40,301.71,409.72,0.75%
25/05/2023,304.60,305.90,306.80,302.50,295.39,-0.42%
24/05/2023,305.90,313.50,313.60,303.81,302.10,-2.42%
23/05/2023,313.50,309.10,315.30,309.10,234.96,1.42%
22/05/2023,309.10,306.41,311.10,304.50,231.13,0.88%
21/05/2023,306.41,310.70,311.60,305.83,149.16,-1.38%
20/05/2023,310.70,308.90,311.90,307.80,110.11,0.58%
19/05/2023,308.90,309.40,311.39,307.70,198.26,-0.16%
18/05/2023,309.40,314.29,314.80,306.21,245.41,-1.56%
17/05/2023,314.29,311.30,314.30,307.20,229.04,0.96%
16/05/2023,311.30,313.40,314.00,309.40,190.08,-0.67%
15/05/2023,313.40,312.09,316.20,310.70,208.51,0.42%
14/05/2023,312.09,310.71,314.70,309.50,199.43,0.45%
13/05/2023,310.71,308.60,311.80,307.60,161.15,0.68%
12/05/2023,308.60,307.50,309.00,301.30,339.08,0.36%
11/05/2023,307.50,314.30,314.41,304.50,305.12,-2.16%
10/05/2023,314.30,312.20,316.69,308.63,374.69,0.67%
09/05/2023,312.21,313.79,315.79,311.20,272.70,-0.50%
08/05/2023,313.79,320.90,321.99,311.22,398.34,-2.22%
07/05/2023,320.90,321.90,325.39,320.50,214.88,-0.31%
06/05/2023,321.90,326.50,328.38,319.59,288.80,-1.41%
05/05/2023,326.50,323.80,329.09,323.34,299.47,0.83%
04/05/2023,323.80,325.90,327.40,323.21,205.93,-0.65%
03/05/2023,325.90,321.51,327.50,320.60,631.22,1.37%
02/05/2023,321.51,328.60,328.60,321.51,451.59,-2.16%
01/05/2023,328.60,337.58,339.49,326.21,748.76,-2.66%
30/04/2023,337.58,321.90,338.19,320.41,735.13,4.87%
29/04/2023,321.90,324.00,324.70,321.30,236.60,-0.68%
28/04/2023,324.10,330.70,330.79,319.00,1.02,-2.00%
27/04/2023,330.70,330.50,336.39,328.71,500.35,0.06%
26/04/2023,330.50,338.39,344.90,323.86,700.74,-2.33%
25/04/2023,338.39,331.10,339.80,328.60,452.97,2.20%
24/04/2023,331.10,330.60,333.70,328.09,457.10,0.12%
23/04/2023,330.70,332.08,332.39,327.40,397.91,-0.42%
22/04/2023,332.08,321.30,333.09,319.90,396.60,3.35%
21/04/2023,321.30,318.09,332.57,315.82,948.48,1.01%
20/04/2023,318.09,322.40,326.70,315.50,385.17,-1.34%
19/04/2023,322.40,343.00,343.70,320.39,562.93,-6.01%
18/04/2023,343.00,340.00,346.48,337.20,407.35,0.88%
17/04/2023,340.00,347.70,350.00,337.71,578.69,-2.21%
16/04/2023,347.70,333.00,349.91,330.20,656.26,4.41%
15/04/2023,333.00,328.81,335.90,327.01,433.13,1.28%
14/04/2023,328.80,324.60,335.31,323.41,705.88,1.29%
13/04/2023,324.60,319.90,324.80,317.81,359.08,1.50%
12/04/2023,319.80,322.21,323.21,316.81,368.20,-0.75%
11/04/2023,322.21,318.59,333.00,317.80,686.32,1.14%
10/04/2023,318.59,312.80,318.59,311.70,280.32,1.85%
09/04/2023,312.80,310.50,313.50,309.70,170.37,0.74%
08/04/2023,310.50,310.40,312.69,310.20,173.42,0.03%
07/04/2023,310.40,312.29,312.70,309.80,187.97,-0.58%
06/04/2023,312.19,314.00,314.80,310.70,243.25,-0.58%
05/04/2023,314.00,310.80,316.69,310.30,332.01,1.03%
04/04/2023,310.80,308.60,312.48,308.20,320.39,0.72%
03/04/2023,308.60,313.81,314.10,299.91,474.36,-1.66%
02/04/2023,313.81,314.90,316.11,311.09,157.05,-0.35%
01/04/2023,314.90,317.10,318.60,313.20,192.47,-0.69%
31/03/2023,317.10,316.40,319.70,313.61,278.30,0.22%
30/03/2023,316.40,313.80,318.55,309.38,516.97,0.83%
29/03/2023,313.80,313.30,319.69,312.40,346.41,0.16%
28/03/2023,313.30,310.51,315.59,306.90,346.99,0.84%
27/03/2023,310.70,328.50,329.60,306.10,605.70,-5.45%
26/03/2023,328.60,322.50,329.38,321.70,215.41,1.89%
25/03/2023,322.50,321.99,324.80,319.15,331.44,0.21%
24/03/2023,321.81,329.31,329.99,317.30,328.26,-2.28%
23/03/2023,329.31,321.20,331.80,319.20,402.49,2.52%
22/03/2023,321.20,334.31,339.29,316.51,1.32,-3.92%
21/03/2023,334.31,332.40,339.79,327.31,493.62,0.57%
20/03/2023,332.40,336.57,338.99,331.69,533.29,-1.24%
19/03/2023,336.57,331.01,341.20,330.80,420.67,1.68%
18/03/2023,331.01,338.88,345.99,329.14,688.76,-2.32%
17/03/2023,338.88,329.39,339.89,326.09,755.89,2.88%
16/03/2023,329.39,306.30,332.40,303.01,1.30,7.54%
